ghsa	severity	cvss	title	present_before	present_after
GHSA-w7jw-789q-3m8p	critical	8.1	shell-quote quote() does not escape newlines in object .op values	yes	no
GHSA-23hp-3jrh-7fpw	critical	7.5	node-tar: Decompression/parse DoS via unlimited input	yes	no
GHSA-xv26-6w52-cph6	critical	0	websocket-driver: Message corruption via abuse of protocol length headers	yes	no
GHSA-wf6x-7x77-mvgw	high	9.8	Immutable is vulnerable to Prototype Pollution	yes	no
GHSA-g93w-mfhg-p222	high	9	Angular vulnerable to XSS in i18n attribute bindings	yes	no
GHSA-r6q2-hw4h-h46w	high	8.8	Race Condition in node-tar Path Reservations via Unicode Ligature Collisions on macOS APFS	yes	no
GHSA-fv7c-fp4j-7gwp	high	8.2	@babel/plugin-transform-modules-systemjs generates arbitrary code when compiling malicious input	yes	no
GHSA-2p49-hgcm-8545	high	8.2	SVGO removeScripts plugin leaves some executable scripts intact	yes	no
GHSA-34x7-hfp2-rc4v	high	8.2	node-tar Vulnerable to Arbitrary File Creation/Overwrite via Hardlink Path Traversal	yes	no
GHSA-r5fr-rjxr-66jc	high	8.1	lodash vulnerable to Code Injection via `_.template` imports key names	yes	no
GHSA-x9g3-xrwr-cwfg	high	8.1	piscina: Prototype Pollution Gadget → RCE via inherited options.filename	yes	no
GHSA-5c6j-r48x-rmvq	high	8.1	Serialize JavaScript is Vulnerable to RCE via RegExp.flags and Date.prototype.toISOString()	yes	no
GHSA-48r7-hpm6-gfxm	high	7.5	@angular/common: Denial of Service (DoS) via OOM in Date Formatting (formatDate)	yes	no
GHSA-q6f4-qqrg-jv6x	high	7.5	@angular/common: Information Leak via Default Caching of Credentialed Requests in HttpTransferCache	yes	no
GHSA-mh99-v99m-4gvg	high	7.5	brace-expansion: DoS via unbounded expansion length causing an out-of-memory process crash	yes	no
GHSA-rgw5-rvv9-x895	high	7.5	brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation	yes	no
GHSA-r635-g3xr-vw7x	high	7.5	Socket.IO: Engine.IO Polling Transport Connection Exhaustion	yes	no
GHSA-v2hh-gcrm-f6hx	high	7.5	fast-uri vulnerable to host confusion via literal backslash authority delimiter	yes	no
GHSA-7p8r-x3mc-p8w7	high	7.5	fast-uri vulnerable to host confusion via backslash authority introducer	yes	no
GHSA-4c8g-83qw-93j6	high	7.5	fast-uri vulnerable to host confusion via failed IDN canonicalization	yes	no
GHSA-q3j6-qgpj-74h6	high	7.5	fast-uri vulnerable to path traversal via percent-encoded dot segments	yes	no
GHSA-v39h-62p7-jpjc	high	7.5	fast-uri vulnerable to host confusion via percent-encoded authority delimiters	yes	no
GHSA-25h7-pfq9-p65f	high	7.5	flatted vulnerable to unbounded recursion DoS in parse() revive phase	yes	no
GHSA-gcq2-9pq2-cxqm	high	7.5	http-proxy-middleware: multipart/form-data field injection via unescaped CRLF in `fixRequestBody`	yes	no
GHSA-w3rx-r6r6-pgpr	high	7.5	image-size: ICNS parser allows denial of service through an infinite loop	yes	no
GHSA-5p2g-fcmc-qvqq	high	7.5	image-size: JXL and HEIF parsers allow denial of service through infinite loops	yes	no
GHSA-v56q-mh7h-f735	high	7.5	Immutable.js `List` 32-bit trie overflow → unrecoverable DoS	yes	no
GHSA-52cp-r559-cp3m	high	7.5	js-yaml: YAML merge-key chains can force quadratic CPU consumption	yes	no
GHSA-5p4m-2wfm-xmqj	high	7.5	JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) — CVE-2026-59870 fix not backported	yes	no
GHSA-7r86-cg39-jmmj	high	7.5	minimatch has ReDoS: matchOne() combinatorial backtracking via multiple non-adjacent GLOBSTAR segments	yes	no
GHSA-23c5-xmqv-rm74	high	7.5	minimatch ReDoS: nested *() extglobs generate catastrophically backtracking regular expressions	yes	no
GHSA-q67f-28xg-22rw	high	7.5	Forge has signature forgery in Ed25519 due to missing S > L check	yes	no
GHSA-5m6q-g25r-mvwx	high	7.5	Forge has Denial of Service via Infinite Loop in BigInteger.modInverse() with Zero Input	yes	no
GHSA-ppp5-5v6c-4jwp	high	7.5	Forge has signature forgery in RSA-PKCS due to ASN.1 extra field 	yes	no
GHSA-37ch-88jc-xwx2	high	7.5	path-to-regexp vulnerable to Regular Expression Denial of Service via multiple route parameters	yes	no
GHSA-c2c7-rcm5-vvqj	high	7.5	Picomatch has a ReDoS vulnerability via extglob quantifiers	yes	no
GHSA-6g55-p6wh-862q	high	7.5	PostCSS: Arbitrary file read and information disclosure via attacker-controlled sourceMappingURL in CSS comments	yes	no
GHSA-r28c-9q8g-f849	high	7.5	PostCSS: Path Traversal in Previous Source Map Auto-Loading (sourceMappingURL) leads to Arbitrary .map File Disclosure	yes	no
GHSA-395f-4hp3-45gv	high	7.5	shell-quote: Quadratic-complexity Denial of Service in `parse()` (CWE-407)	yes	no
GHSA-52v5-jr5w-gjxr	high	7.5	sigstore's `certificateOIDs` verification constraints are silently dropped and never enforced	yes	no
GHSA-2m8v-j782-fhvr	high	7.5	Socket.IO: Zero-attachment Memory Exhaustion	yes	no
GHSA-8x88-c5mf-7j5w	high	7.5	node-tar: Negative tar entry size causes infinite loop in archive replace	yes	no
GHSA-fx2h-pf6j-xcff	high	7.5	vite: `server.fs.deny` bypass on Windows alternate paths	yes	no
GHSA-96hv-2xvq-fx4p	high	7.5	ws: Memory exhaustion DoS from tiny fragments and data chunks	yes	no
GHSA-2328-f5f3-gj25	high	7.4	Forge has a basicConstraints bypass in its certificate chain verification (RFC 5280 violation)	yes	no
GHSA-83g3-92jg-28cx	high	7.1	Arbitrary File Read/Write via Hardlink Target Escape Through Symlink Chain in node-tar Extraction	yes	no
GHSA-39pv-4j6c-2g6v	high	6.1	@angular/common: Weak 32-Bit Cache Key Hashing in `HttpTransferCache` Leading to Cross-Request Data Leakage and State Poisoning	yes	no
GHSA-p3vc-36g9-x9gr	high	6.1	@angular/common: Denial of Service (DoS) via OOM in Number Formatting (digitsInfo)	yes	no
GHSA-prjf-86w9-mfqv	high	6.1	Angular i18n vulnerable to Cross-Site Scripting	yes	no
GHSA-rgjc-h3x7-9mwg	high	6.1	Angular Client Hydration DOM Clobbering & Response-Cache Poisoning	yes	no
GHSA-28wg-ghj8-5hjv	high	5.9	nanoid: non-secure generators can loop indefinitely with negative size	yes	no
GHSA-2v37-7h3g-55p8	high	5.9	nanoid: custom generators can loop indefinitely when size is zero	yes	no
GHSA-3jxr-9vmj-r5cp	high	5.3	brace-expansion: DoS via exponential-time expansion of consecutive non-expanding {} groups	yes	no
GHSA-jhpw-976m-542j	high	0	Angular: Cache-Key Ambiguity in HttpTransferCache Leading to Cross-Request Response Reuse and State Poisoning	yes	no
GHSA-jj27-h5hq-8x99	high	0	Angular i18n: Cross-Site Scripting (XSS) via event-handler attributes	yes	no
GHSA-rf6f-7fwh-wjgh	high	0	Prototype Pollution via parse() in NodeJS flatted	yes	no
GHSA-xvcm-6775-5m9r	high	0	Immutable: Hash-collision algorithmic complexity denial of service in Immutable.Map/Set	yes	no
