package	before (declared)	before (resolved)	after (declared)	after (resolved)	state
@angular-devkit/build-angular	^19.2.0	19.2.20	—	—	removed
@angular-eslint/eslint-plugin	^19.8.1	19.8.1	^22.1.0	22.1.0	changed
@angular/animations	19.2.18	19.2.18	22.1.2	22.1.2	changed
@angular/build	—	—	22.1.4	22.1.4	added
@angular/cdk	19.2.19	19.2.19	22.1.3	22.1.3	changed
@angular/cli	^19.2.0	19.2.20	22.1.4	22.1.4	changed
@angular/common	19.2.18	19.2.18	22.1.2	22.1.2	changed
@angular/compiler	19.2.18	19.2.18	22.1.2	22.1.2	changed
@angular/compiler-cli	^19.2.0	19.2.18	22.1.2	22.1.2	changed
@angular/core	19.2.18	19.2.18	22.1.2	22.1.2	changed
@angular/forms	19.2.18	19.2.18	22.1.2	22.1.2	changed
@angular/material	19.2.19	19.2.19	22.1.3	22.1.3	changed
@angular/platform-browser	19.2.18	19.2.18	22.1.2	22.1.2	changed
@angular/platform-browser-dynamic	19.2.18	19.2.18	—	—	removed
@angular/router	19.2.18	19.2.18	22.1.2	22.1.2	changed
@astral-sh/ruff-wasm-web	0.15.2	0.15.2	0.15.2	0.15.2	unchanged
@foblex/2d	1.2.2	1.2.2	1.2.2	1.2.2	unchanged
@foblex/flow	18.4.0	18.4.0	18.4.0	18.4.0	unchanged
@foblex/mediator	1.1.3	1.1.3	1.1.3	1.1.3	unchanged
@foblex/platform	1.0.4	1.0.4	1.0.4	1.0.4	unchanged
@foblex/utils	1.1.1	1.1.1	1.1.1	1.1.1	unchanged
@fontsource/inter	^5.2.8	5.2.8	5.2.8	5.2.8	changed
@fontsource/roboto	^5.2.10	5.2.10	5.2.10	5.2.10	changed
@openai/realtime-api-beta	github:openai/openai-realtime-api-beta#a5cb94824f625423858ebacb9f769226ca98945f	0.0.0	github:openai/openai-realtime-api-beta#a5cb94824f625423858ebacb9f769226ca98945f	0.0.0	unchanged
@tabler/icons-webfont	^3.36.1	3.36.1	3.36.1	3.36.1	changed
@types/jasmine	~5.1.0	5.1.15	—	—	removed
@types/json-schema	—	—	^7.0.15	7.0.15	added
@types/papaparse	^5.5.2	5.5.2	^5.5.2	5.5.2	unchanged
ag-grid-angular	33.3.2	33.3.2	33.3.2	33.3.2	unchanged
ag-grid-community	33.3.2	33.3.2	33.3.2	33.3.2	unchanged
docx-preview	^0.3.7	0.3.7	^0.3.7	0.3.7	unchanged
eslint	^9.39.4	9.39.4	^9.39.4	9.39.5	unchanged
eslint-plugin-simple-import-sort	^12.1.1	12.1.1	^12.1.1	12.1.1	unchanged
husky	^9.1.7	9.1.7	^9.1.7	9.1.7	unchanged
jasmine-core	~5.2.0	5.2.0	—	—	removed
jsdom	—	—	^30.0.1	30.0.1	added
jsonc-parser	—	—	3.3.1	3.3.1	added
karma	^6.4.4	6.4.4	—	—	removed
karma-chrome-launcher	^3.2.0	3.2.0	—	—	removed
karma-coverage	^2.2.1	2.2.1	—	—	removed
karma-jasmine	^5.1.0	5.1.0	—	—	removed
karma-jasmine-html-reporter	^2.1.0	2.2.0	—	—	removed
lint-staged	^16.3.3	16.3.3	^16.3.3	16.4.0	unchanged
marked	—	—	18.0.10	18.0.10	added
monaco-editor	0.52.2	0.52.2	0.55.1	0.55.1	changed
ngx-image-cropper	9.1.6	9.1.6	9.1.6	9.1.6	unchanged
ngx-json-viewer	3.2.1	3.2.1	3.2.1	3.2.1	unchanged
ngx-markdown	19.1.1	19.1.1	22.0.0	22.0.0	changed
ngx-monaco-editor-v2	19.0.2	19.0.2	22.0.4	22.0.4	changed
papaparse	^5.5.3	5.5.3	5.5.3	5.5.3	changed
prettier	^3.8.1	3.8.1	3.8.1	3.8.1	changed
read-excel-file	^9.2.0	9.2.0	9.2.0	9.2.0	changed
rxjs	7.8.2	7.8.2	7.8.2	7.8.2	unchanged
tslib	2.8.1	2.8.1	2.8.1	2.8.1	unchanged
typescript	~5.5.2	5.5.4	~6.0.3	6.0.3	changed
typescript-eslint	^8.57.0	8.57.0	^8.67.0	8.67.0	changed
vitest	—	—	^4.1.11	4.1.11	added
wavtools	0.1.5	0.1.5	0.1.5	0.1.5	unchanged
zone.js	0.15.1	0.15.1	0.15.1	0.15.1	unchanged
